save_name,freq_slice,time_center,dm_center,time_left,dm_left
00000.npy,0,7743.7,564.66,7613.21,627.03
00000.npy,1,-1.0,-1.0,-1.0,-1.0
00000.npy,2,7766.73,554.11,7551.8,657.74
00001.npy,0,628.03,552.19,221.21,602.09
00001.npy,1,612.68,554.11,259.59,594.41
00001.npy,2,-1.0,-1.0,-1.0,-1.0
00002.npy,0,1134.65,551.23,1011.84,619.36
00002.npy,1,-1.0,-1.0,-1.0,-1.0
00002.npy,2,1142.33,552.19,973.46,625.11
00003.npy,0,2347.46,548.35,1909.93,603.05
00003.npy,1,2339.79,548.35,1963.66,592.49
00003.npy,2,-1.0,-1.0,-1.0,-1.0
00004.npy,0,5609.77,548.35,5348.79,591.53
00004.npy,0,7567.16,558.91,7267.79,634.71
00004.npy,1,5602.09,551.23,5287.38,592.49
00004.npy,1,7582.51,553.15,7359.9,598.25
00004.npy,2,5617.45,550.27,5533.01,590.57
00004.npy,2,7620.89,552.19,7382.93,609.76
00005.npy,0,3867.31,551.23,3690.77,608.8
00005.npy,1,-1.0,-1.0,-1.0,-1.0
00005.npy,2,3844.29,547.39,3721.47,611.68
00006.npy,0,1733.38,549.31,789.23,759.44
00006.npy,1,1741.06,550.27,835.29,690.36
00006.npy,2,1725.71,554.11,1272.82,737.38
00007.npy,0,1779.44,552.19,1602.89,584.81
00007.npy,0,2025.07,553.15,1787.11,588.65
00007.npy,1,1833.17,542.6,1564.51,584.81
00007.npy,1,2040.42,549.31,1756.41,593.45
00007.npy,2,-1.0,-1.0,-1.0,-1.0
00008.npy,0,3583.3,550.27,3491.19,592.49
00008.npy,1,-1.0,-1.0,-1.0,-1.0
00008.npy,2,3575.63,550.27,3452.81,607.84
00009.npy,0,7713.0,552.19,7452.01,579.06
00009.npy,1,7728.35,550.27,7398.28,580.98
00009.npy,2,-1.0,-1.0,-1.0,-1.0
00010.npy,0,2094.15,552.19,1932.96,626.07
00010.npy,1,-1.0,-1.0,-1.0,-1.0
00010.npy,2,2078.8,551.23,1886.9,630.87
00011.npy,0,3706.12,546.43,3414.43,584.81
00011.npy,1,3706.12,546.43,3414.43,594.41
00011.npy,2,-1.0,-1.0,-1.0,-1.0
00012.npy,0,3974.78,544.52,3844.29,622.24
00012.npy,1,-1.0,-1.0,-1.0,-1.0
00012.npy,2,3959.43,552.19,3821.26,632.79
00013.npy,0,4565.83,547.39,4496.75,592.49
00013.npy,0,5471.6,550.27,5279.7,625.11
00013.npy,1,-1.0,-1.0,-1.0,-1.0
00013.npy,2,4565.83,544.52,4481.4,600.17
00013.npy,2,5486.95,552.19,5272.03,623.19
00014.npy,0,6676.74,552.19,6576.95,600.17
00014.npy,1,-1.0,-1.0,-1.0,-1.0
00014.npy,2,6669.06,550.27,6569.27,602.09
00015.npy,0,5686.53,547.39,5325.76,607.84
00015.npy,1,5709.56,545.47,5287.38,618.4
00015.npy,2,-1.0,-1.0,-1.0,-1.0
00016.npy,0,6054.98,549.31,5916.81,611.68
00016.npy,1,-1.0,-1.0,-1.0,-1.0
00016.npy,2,6093.36,554.11,5916.81,611.68
00017.npy,0,2071.13,549.31,1971.34,618.4
00017.npy,1,-1.0,-1.0,-1.0,-1.0
00017.npy,2,2094.15,548.35,1940.63,629.91
00018.npy,0,6085.68,550.27,5947.52,612.64
00018.npy,1,-1.0,-1.0,-1.0,-1.0
00018.npy,2,6062.66,550.27,5924.49,621.28
00019.npy,0,5517.66,549.31,5272.03,586.73
00019.npy,1,5525.33,548.35,5302.73,578.1
00019.npy,2,-1.0,-1.0,-1.0,-1.0
00020.npy,0,1357.26,548.35,1234.44,600.17
00020.npy,1,-1.0,-1.0,-1.0,-1.0
00020.npy,2,1387.96,548.35,1265.14,605.92
00021.npy,0,7444.34,548.35,7283.14,598.25
00021.npy,1,7428.99,549.31,7191.03,593.45
00021.npy,2,7428.99,546.43,7283.14,599.21
00022.npy,0,5717.23,551.23,5609.77,598.25
00022.npy,1,-1.0,-1.0,-1.0,-1.0
00022.npy,2,5724.91,551.23,5609.77,609.76
00023.npy,0,1341.9,548.35,1265.14,600.17
00023.npy,1,-1.0,-1.0,-1.0,-1.0
00023.npy,2,1326.55,548.35,1249.79,605.92
00024.npy,0,6607.65,550.27,6477.16,616.48
00024.npy,1,-1.0,-1.0,-1.0,-1.0
00024.npy,2,6638.36,549.31,6500.19,609.76
00025.npy,0,1234.44,547.39,973.46,588.65
00025.npy,0,1418.66,548.35,1341.9,584.81
00025.npy,1,1203.74,550.27,973.46,590.57
00025.npy,2,1418.66,550.27,1326.55,590.57
00026.npy,0,7666.94,548.35,7513.42,589.61
00026.npy,1,7666.94,547.39,7482.72,587.69
00026.npy,2,7659.27,546.43,7521.1,599.21
